activity,timestamp,rental,inventory,customer,staff,inspection,invoice,store,lifecycle
create_rental,2020-01-01 17:12:33.488280,[477],"[26, 159]",76,EMPTY,EMPTY,EMPTY,6,complete
return_inventory,2020-01-01 17:12:33.488280,"[372, 423]","[49, 113, 115]",39,4,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 17:12:33.488280,[476],"[75, 86]",53,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 17:12:33.488280,[400],EMPTY,60,EMPTY,EMPTY,[635],4,complete
pay_invoice,2020-01-01 17:12:33.488280,[340],EMPTY,72,EMPTY,EMPTY,[637],2,complete
create_rental,2020-01-01 17:12:33.488280,[478],[145],14,EMPTY,EMPTY,EMPTY,7,complete
create_invoice,2020-01-01 17:13:57.209210,[478],EMPTY,EMPTY,11,EMPTY,[642],7,complete
confirm_invoice,2020-01-01 17:14:39.069675,"[340, 405]",EMPTY,EMPTY,16,EMPTY,"[560, 637]",2,complete
create_invoice,2020-01-01 17:16:02.790605,"[480, 461, 466, 468, 477, 479]",EMPTY,EMPTY,7,EMPTY,"[643, 644, 645, 646, 647, 648]",6,complete
create_invoice,2020-01-01 17:16:44.651070,"[472, 465]",EMPTY,EMPTY,1,EMPTY,"[649, 650]",1,complete
create_invoice,2020-01-01 17:17:26.511535,"[448, 462, 473, 475, 476]",EMPTY,EMPTY,4,EMPTY,"[651, 652, 653, 654, 655]",4,complete
create_rental,2020-01-01 17:18:08.372000,[484],[37],65,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:18:08.372000,"[370, 475, 476]",EMPTY,53,EMPTY,EMPTY,"[633, 654, 655]",4,complete
create_rental,2020-01-01 17:18:08.372000,[485],"[18, 55]",27,EMPTY,EMPTY,EMPTY,6,complete
cancel_inventory,2020-01-01 17:18:08.372000,[418],[78],9,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:18:08.372000,[483],"[115, 29]",74,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 17:18:08.372000,[461],EMPTY,34,EMPTY,EMPTY,[643],6,complete
pay_invoice,2020-01-01 17:18:08.372000,[473],EMPTY,4,EMPTY,EMPTY,[653],4,complete
pay_invoice,2020-01-01 17:18:08.372000,[478],EMPTY,14,EMPTY,EMPTY,[642],7,complete
create_rental,2020-01-01 17:18:08.372000,[481],[79],72,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:18:08.372000,[479],EMPTY,6,EMPTY,EMPTY,[647],6,complete
create_rental,2020-01-01 17:18:08.372000,[482],"[2, 28]",18,EMPTY,EMPTY,EMPTY,4,complete
confirm_invoice,2020-01-01 17:20:13.953395,"[400, 337, 370, 473, 475, 476]",EMPTY,EMPTY,4,EMPTY,"[593, 633, 635, 653, 654, 655]",4,complete
confirm_rental,2020-01-01 17:20:55.813860,"[383, 412, 427, 432, 433]",EMPTY,EMPTY,8,EMPTY,EMPTY,6,complete
inspect_inventories,2020-01-01 17:21:37.674325,[404],"[48, 145]",EMPTY,17,"[454, 455]",EMPTY,7,start
pay_invoice,2020-01-01 17:23:43.255720,"[379, 443, 351]",EMPTY,40,EMPTY,EMPTY,"[599, 603, 612]",5,complete
return_inventory,2020-01-01 17:23:43.255720,[409],[158],2,2,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 17:23:43.255720,"[442, 418]","[100, 8, 120]",9,16,EMPTY,EMPTY,2,complete
cancel_inventory,2020-01-01 17:23:43.255720,[433],[68],27,EMPTY,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 17:23:43.255720,[427],"[106, 147]",20,7,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 17:23:43.255720,[432],"[80, 126]",55,9,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 17:23:43.255720,[412],"[118, 23]",69,8,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 17:23:43.255720,[465],EMPTY,36,EMPTY,EMPTY,[649],1,complete
create_rental,2020-01-01 17:23:43.255720,[487],"[156, 13]",25,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 17:23:43.255720,[486],[78],23,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:23:43.255720,"[468, 477]",EMPTY,76,EMPTY,EMPTY,"[645, 646]",6,complete
lend_inventory,2020-01-01 17:23:43.255720,[414],"[70, 39]",44,16,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 17:23:43.255720,[411],"[85, 150]",72,16,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 17:23:43.255720,[425],[1],16,16,EMPTY,EMPTY,2,complete
inspect_inventories,2020-01-01 17:25:06.976650,"[384, 417, 390, 423, 372, 376]","[49, 113, 115, 35, 156, 2, 28, 83, 29, 4, 13]",EMPTY,18,"[463, 464, 465, 469, 470, 471, 472, 473, 474, 475, 476]",EMPTY,4,start
inspect_inventories,2020-01-01 17:25:48.837115,"[385, 396, 431, 368, 401]","[57, 114, 18, 43, 90, 132]",EMPTY,7,"[456, 457, 458, 466, 467, 468]",EMPTY,6,start
create_invoice,2020-01-01 17:26:06.976650,"[376, 417, 372, 423]",EMPTY,EMPTY,13,EMPTY,"[656, 657, 658, 659]",4,complete
create_invoice,2020-01-01 17:26:48.837115,"[396, 431]",EMPTY,EMPTY,7,EMPTY,"[660, 661]",6,complete
inspect_inventories,2020-01-01 17:27:54.418510,[409],[158],EMPTY,16,[477],EMPTY,2,start
confirm_invoice,2020-01-01 17:28:36.278975,"[474, 478]",EMPTY,EMPTY,14,EMPTY,"[641, 642]",7,complete
return_inventory,2020-01-01 17:29:18.139440,[412],"[118, 23]",69,6,EMPTY,EMPTY,6,complete
return_inventory,2020-01-01 17:29:18.139440,[387],"[25, 125]",11,4,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 17:29:18.139440,[471],EMPTY,49,EMPTY,EMPTY,[640],7,complete
create_rental,2020-01-01 17:29:18.139440,[491],"[120, 1]",30,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:29:18.139440,[490],"[90, 147]",76,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 17:29:18.139440,[376],EMPTY,32,EMPTY,EMPTY,[657],4,complete
pay_invoice,2020-01-01 17:29:18.139440,[450],EMPTY,7,EMPTY,EMPTY,[619],7,complete
return_inventory,2020-01-01 17:29:18.139440,[425],[1],16,2,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:29:18.139440,[489],"[81, 106]",48,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 17:29:18.139440,[488],[32],14,EMPTY,EMPTY,EMPTY,7,complete
return_inventory,2020-01-01 17:29:18.139440,[432],"[80, 126]",55,6,EMPTY,EMPTY,6,complete
return_inventory,2020-01-01 17:29:18.139440,[410],"[59, 27]",53,4,EMPTY,EMPTY,4,complete
return_inventory,2020-01-01 17:29:18.139440,"[442, 418]","[100, 8, 120]",9,2,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 17:29:18.139440,[383],"[99, 44]",27,7,EMPTY,EMPTY,6,complete
return_inventory,2020-01-01 17:29:18.139440,[427],"[106, 147]",20,6,EMPTY,EMPTY,6,complete
confirm_invoice,2020-01-01 17:29:59.999905,"[450, 471]",EMPTY,EMPTY,17,EMPTY,"[619, 640]",7,complete
confirm_rental,2020-01-01 17:30:41.860370,[405],EMPTY,EMPTY,16,EMPTY,EMPTY,2,complete
inspect_inventories,2020-01-01 17:31:23.720835,"[432, 427, 412]","[80, 126, 106, 147, 118, 23]",EMPTY,8,"[478, 479, 480, 481, 490, 491]",EMPTY,6,start
create_invoice,2020-01-01 17:32:05.581300,"[482, 483, 487]",EMPTY,EMPTY,4,EMPTY,"[664, 665, 666]",4,complete
create_invoice,2020-01-01 17:32:23.720835,"[432, 427]",EMPTY,EMPTY,9,EMPTY,"[662, 663]",6,complete
confirm_invoice,2020-01-01 17:34:11.162695,[465],EMPTY,EMPTY,6,EMPTY,[649],1,complete
return_inventory,2020-01-01 17:34:53.023160,[414],"[70, 39]",44,2,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:34:53.023160,"[440, 430]",EMPTY,63,EMPTY,EMPTY,"[615, 617]",7,complete
create_rental,2020-01-01 17:34:53.023160,[494],[31],23,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:34:53.023160,[493],"[83, 59]",67,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 17:34:53.023160,[455],EMPTY,54,EMPTY,EMPTY,[625],5,complete
pay_invoice,2020-01-01 17:34:53.023160,[467],EMPTY,70,EMPTY,EMPTY,[638],7,complete
cancel_inventory,2020-01-01 17:34:53.023160,[405],[31],65,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:34:53.023160,[492],"[43, 132]",55,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 17:34:53.023160,"[448, 483]",EMPTY,74,EMPTY,EMPTY,"[651, 665]",4,complete
pay_invoice,2020-01-01 17:34:53.023160,"[472, 386]",EMPTY,8,EMPTY,EMPTY,"[629, 650]",1,complete
confirm_rental,2020-01-01 17:36:58.604555,"[375, 389, 406, 436, 447, 450, 458, 471, 474, 478]",EMPTY,EMPTY,17,EMPTY,EMPTY,7,complete
create_invoice,2020-01-01 17:37:40.465020,"[481, 484, 453, 486, 456, 491, 494]",EMPTY,EMPTY,16,EMPTY,"[667, 668, 669, 670, 671, 672, 673]",2,complete
confirm_invoice,2020-01-01 17:39:04.185950,"[448, 483, 376]",EMPTY,EMPTY,13,EMPTY,"[651, 657, 665]",4,complete
confirm_invoice,2020-01-01 17:39:46.046415,"[388, 393, 395, 402, 424, 435, 310, 439, 441, 313, 444, 445, 454, 459, 335, 463, 357, 358, 359, 373, 374]",EMPTY,EMPTY,10,EMPTY,"[507, 508, 509, 510, 511, 530, 531, 555, 556, 576, 577, 584, 589, 590, 591, 592, 607, 608, 621, 622, 623]",3,complete
pay_invoice,2020-01-01 17:40:27.906880,[453],EMPTY,51,EMPTY,EMPTY,[667],2,complete
cancel_inventory,2020-01-01 17:40:27.906880,[450],[109],7,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:40:27.906880,[484],EMPTY,65,EMPTY,EMPTY,[670],2,complete
create_rental,2020-01-01 17:40:27.906880,[497],[67],28,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 17:40:27.906880,[496],[98],70,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 17:40:27.906880,[498],"[130, 68]",20,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 17:40:27.906880,[417],EMPTY,4,EMPTY,EMPTY,[658],4,complete
cancel_inventory,2020-01-01 17:40:27.906880,[406],[98],77,EMPTY,EMPTY,EMPTY,7,complete
cancel_inventory,2020-01-01 17:40:27.906880,[389],[67],21,EMPTY,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 17:40:27.906880,[474],[48],35,14,EMPTY,EMPTY,7,complete
return_inventory,2020-01-01 17:40:27.906880,"[403, 438]","[40, 162, 71, 47]",23,2,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 17:40:27.906880,[495],"[70, 39]",72,EMPTY,EMPTY,EMPTY,2,complete
create_invoice,2020-01-01 17:41:09.767345,"[485, 489, 490, 492, 498]",EMPTY,EMPTY,8,EMPTY,"[674, 675, 676, 677, 678]",6,complete
confirm_invoice,2020-01-01 17:41:51.627810,[417],EMPTY,EMPTY,4,EMPTY,[658],4,complete
confirm_invoice,2020-01-01 17:42:33.488275,"[472, 386]",EMPTY,EMPTY,2,EMPTY,"[629, 650]",1,complete
create_invoice,2020-01-01 17:43:15.348740,"[488, 496, 497]",EMPTY,EMPTY,11,EMPTY,"[679, 680, 681]",7,complete
confirm_invoice,2020-01-01 17:44:39.069670,"[484, 453]",EMPTY,EMPTY,16,EMPTY,"[667, 670]",2,complete
create_rental,2020-01-01 17:46:02.790600,[501],"[80, 99]",41,EMPTY,EMPTY,EMPTY,6,complete
cancel_inventory,2020-01-01 17:46:02.790600,[389],[41],21,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:46:02.790600,[496],EMPTY,70,EMPTY,EMPTY,[680],7,complete
return_inventory,2020-01-01 17:46:02.790600,[383],"[99, 44]",27,6,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 17:46:02.790600,[491],EMPTY,30,EMPTY,EMPTY,[672],2,complete
return_inventory,2020-01-01 17:46:02.790600,[474],[48],35,7,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 17:46:02.790600,[436],"[91, 135]",28,11,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 17:46:02.790600,[500],[144],49,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:46:02.790600,"[486, 494]",EMPTY,23,EMPTY,EMPTY,"[671, 673]",2,complete
cancel_inventory,2020-01-01 17:46:02.790600,[406],[144],77,EMPTY,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 17:46:02.790600,[405],[19],65,16,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 17:46:02.790600,[450],[117],7,14,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:46:02.790600,[490],EMPTY,76,EMPTY,EMPTY,[676],6,complete
pay_invoice,2020-01-01 17:46:02.790600,[488],EMPTY,14,EMPTY,EMPTY,[679],7,complete
create_rental,2020-01-01 17:46:02.790600,[499],[40],2,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:46:02.790600,"[489, 431]",EMPTY,48,EMPTY,EMPTY,"[661, 675]",6,complete
create_invoice,2020-01-01 17:48:08.371995,[500],EMPTY,EMPTY,14,EMPTY,[682],7,complete
create_invoice,2020-01-01 17:48:50.232460,"[499, 495]",EMPTY,EMPTY,16,EMPTY,"[683, 684]",2,complete
create_invoice,2020-01-01 17:49:32.092925,[501],EMPTY,EMPTY,8,EMPTY,[685],6,complete
create_invoice,2020-01-01 17:50:13.953390,[493],EMPTY,EMPTY,13,EMPTY,[686],4,complete
pay_invoice,2020-01-01 17:51:37.674320,[487],EMPTY,25,EMPTY,EMPTY,[666],4,complete
create_rental,2020-01-01 17:51:37.674320,[505],"[48, 41]",28,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 17:51:37.674320,[504],[35],4,EMPTY,EMPTY,EMPTY,4,complete
cancel_inventory,2020-01-01 17:51:37.674320,[375],[151],49,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:51:37.674320,[493],EMPTY,67,EMPTY,EMPTY,[686],4,complete
pay_invoice,2020-01-01 17:51:37.674320,[480],EMPTY,69,EMPTY,EMPTY,[648],6,complete
create_rental,2020-01-01 17:51:37.674320,[503],"[113, 25]",53,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 17:51:37.674320,"[466, 396]",EMPTY,62,EMPTY,EMPTY,"[644, 660]",6,complete
create_rental,2020-01-01 17:51:37.674320,[502],"[96, 125]",18,EMPTY,EMPTY,EMPTY,4,complete
return_inventory,2020-01-01 17:51:37.674320,[411],"[85, 150]",72,2,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 17:51:37.674320,[485],EMPTY,27,EMPTY,EMPTY,[674],6,complete
inspect_inventories,2020-01-01 17:52:19.534785,"[410, 387]","[59, 27, 25, 125]",EMPTY,13,"[485, 486, 488, 489]",EMPTY,4,start
create_invoice,2020-01-01 17:53:19.534785,[387],EMPTY,EMPTY,4,EMPTY,[687],4,complete
confirm_rental,2020-01-01 17:54:25.116180,"[394, 398, 413, 415, 419, 421, 428, 434, 452, 457, 465, 472]",EMPTY,EMPTY,5,EMPTY,EMPTY,1,complete
confirm_invoice,2020-01-01 17:55:06.976645,"[491, 486, 494]",EMPTY,EMPTY,16,EMPTY,"[671, 672, 673]",2,complete
create_invoice,2020-01-01 17:56:30.697575,[505],EMPTY,EMPTY,14,EMPTY,[688],7,complete
lend_inventory,2020-01-01 17:57:12.558040,"[471, 447]","[88, 123, 62, 119]",49,14,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 17:57:12.558040,[394],[60],29,1,EMPTY,EMPTY,1,complete
return_inventory,2020-01-01 17:57:12.558040,[436],"[91, 135]",28,7,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 17:57:12.558040,[478],[145],14,17,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:57:12.558040,"[498, 427]",EMPTY,20,EMPTY,EMPTY,"[662, 678]",6,complete
pay_invoice,2020-01-01 17:57:12.558040,"[456, 481, 495]",EMPTY,72,EMPTY,EMPTY,"[668, 669, 683]",2,complete
pay_invoice,2020-01-01 17:57:12.558040,[482],EMPTY,18,EMPTY,EMPTY,[664],4,complete
return_inventory,2020-01-01 17:57:12.558040,[450],[117],7,7,EMPTY,EMPTY,7,complete
cancel_inventory,2020-01-01 17:57:12.558040,[419],[133],36,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 17:57:12.558040,"[432, 492]",EMPTY,55,EMPTY,EMPTY,"[663, 677]",6,complete
pay_invoice,2020-01-01 17:57:12.558040,[501],EMPTY,41,EMPTY,EMPTY,[685],6,complete
create_rental,2020-01-01 17:57:12.558040,[506],[151],35,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 17:57:12.558040,"[387, 462]",EMPTY,11,EMPTY,EMPTY,"[652, 687]",4,complete
lend_inventory,2020-01-01 17:57:12.558040,[457],"[129, 30]",22,1,EMPTY,EMPTY,1,complete
cancel_inventory,2020-01-01 17:57:12.558040,[413],[142],57,EMPTY,EMPTY,EMPTY,1,complete
inspect_inventories,2020-01-01 17:59:18.139435,"[418, 425, 403, 438, 442, 411, 414]","[100, 8, 120, 1, 70, 39, 40, 162, 71, 47, 85, 150]",EMPTY,16,"[482, 483, 484, 487, 492, 493, 494, 495, 496, 497, 501, 502]",EMPTY,2,start
create_invoice,2020-01-01 18:00:18.139435,"[442, 411, 438, 414]",EMPTY,EMPTY,16,EMPTY,"[689, 690, 691, 692]",2,complete
confirm_invoice,2020-01-01 18:01:23.720830,"[480, 485, 489, 490, 427, 396, 461, 492, 431, 432, 466, 498, 468, 501, 477, 479]",EMPTY,EMPTY,8,EMPTY,"[643, 644, 645, 646, 647, 648, 660, 661, 662, 663, 674, 675, 676, 677, 678, 685]",6,complete
create_invoice,2020-01-01 18:02:05.581295,"[504, 502, 503]",EMPTY,EMPTY,18,EMPTY,"[693, 694, 695]",4,complete
create_rental,2020-01-01 18:02:47.441760,[510],[109],77,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 18:02:47.441760,[509],[60],36,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 18:02:47.441760,"[372, 423]",EMPTY,39,EMPTY,EMPTY,"[656, 659]",4,complete
cancel_inventory,2020-01-01 18:02:47.441760,[398],[134],15,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:02:47.441760,[508],"[69, 143]",11,EMPTY,EMPTY,EMPTY,4,complete
lend_inventory,2020-01-01 18:02:47.441760,"[452, 413]","[24, 166]",57,2,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:02:47.441760,[507],"[158, 71]",51,EMPTY,EMPTY,EMPTY,2,complete
return_inventory,2020-01-01 18:02:47.441760,[394],[60],29,1,EMPTY,EMPTY,1,complete
return_inventory,2020-01-01 18:02:47.441760,"[471, 447]","[88, 123, 62, 119]",49,7,EMPTY,EMPTY,7,complete
confirm_invoice,2020-01-01 18:04:53.023155,"[488, 430, 496, 467, 440]",EMPTY,EMPTY,14,EMPTY,"[615, 617, 638, 679, 680]",7,complete
confirm_invoice,2020-01-01 18:06:58.604550,"[456, 481, 495]",EMPTY,EMPTY,16,EMPTY,"[668, 669, 683]",2,complete
create_rental,2020-01-01 18:08:22.325480,[514],"[133, 54]",15,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:08:22.325480,[513],"[88, 119]",70,EMPTY,EMPTY,EMPTY,7,complete
cancel_inventory,2020-01-01 18:08:22.325480,[428],[54],8,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 18:08:22.325480,[414],EMPTY,44,EMPTY,EMPTY,[690],2,complete
pay_invoice,2020-01-01 18:08:22.325480,[438],EMPTY,23,EMPTY,EMPTY,[691],2,complete
create_rental,2020-01-01 18:08:22.325480,[512],"[150, 47]",30,EMPTY,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 18:08:22.325480,"[465, 419]","[22, 110, 167]",36,6,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:08:22.325480,[511],"[162, 100]",65,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 18:08:22.325480,[503],EMPTY,53,EMPTY,EMPTY,[694],4,complete
confirm_rental,2020-01-01 18:09:46.046410,"[453, 456, 481, 484, 486, 491, 494, 495]",EMPTY,EMPTY,16,EMPTY,EMPTY,2,complete
create_invoice,2020-01-01 18:11:51.627805,"[514, 509]",EMPTY,EMPTY,2,EMPTY,"[696, 697]",1,complete
create_invoice,2020-01-01 18:13:15.348735,"[513, 506, 510]",EMPTY,EMPTY,14,EMPTY,"[698, 699, 700]",7,complete
create_rental,2020-01-01 18:13:57.209200,[517],[85],58,EMPTY,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 18:13:57.209200,"[472, 428]","[82, 160, 20]",8,5,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:13:57.209200,[518],"[27, 4]",46,EMPTY,EMPTY,EMPTY,4,complete
return_inventory,2020-01-01 18:13:57.209200,"[465, 419]","[22, 110, 167]",36,1,EMPTY,EMPTY,1,complete
lend_inventory,2020-01-01 18:13:57.209200,[453],"[112, 164]",51,16,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 18:13:57.209200,[516],[23],41,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:13:57.209200,[515],"[44, 126]",76,EMPTY,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 18:13:57.209200,"[456, 481, 495]","[124, 103, 79, 70, 39]",72,16,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 18:13:57.209200,"[486, 494]","[78, 31]",23,16,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 18:13:57.209200,[500],EMPTY,49,EMPTY,EMPTY,[682],7,complete
lend_inventory,2020-01-01 18:13:57.209200,"[398, 415]","[153, 6]",15,6,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 18:13:57.209200,[513],EMPTY,70,EMPTY,EMPTY,[700],7,complete
confirm_invoice,2020-01-01 18:16:44.651060,"[513, 500]",EMPTY,EMPTY,17,EMPTY,"[682, 700]",7,complete
confirm_invoice,2020-01-01 18:17:26.511525,"[438, 414]",EMPTY,EMPTY,16,EMPTY,"[690, 691]",2,complete
confirm_rental,2020-01-01 18:18:50.232455,"[461, 466, 468, 477, 479, 480, 485, 489, 490, 492, 498, 501]",EMPTY,EMPTY,7,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 18:19:32.092920,[479],"[57, 114]",6,9,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 18:19:32.092920,[514],EMPTY,15,EMPTY,EMPTY,[697],1,complete
cancel_inventory,2020-01-01 18:19:32.092920,[434],[154],50,EMPTY,EMPTY,EMPTY,1,complete
lend_inventory,2020-01-01 18:19:32.092920,[466],"[73, 94]",62,8,EMPTY,EMPTY,6,complete
cancel_inventory,2020-01-01 18:19:32.092920,[458],[64],70,EMPTY,EMPTY,EMPTY,7,complete
cancel_inventory,2020-01-01 18:19:32.092920,[461],[10],34,EMPTY,EMPTY,EMPTY,6,complete
return_inventory,2020-01-01 18:19:32.092920,[453],"[112, 164]",51,2,EMPTY,EMPTY,2,complete
cancel_inventory,2020-01-01 18:19:32.092920,[501],[80],41,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:19:32.092920,[523],[37],16,EMPTY,EMPTY,EMPTY,2,complete
cancel_inventory,2020-01-01 18:19:32.092920,[485],[18],27,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 18:19:32.092920,[502],EMPTY,18,EMPTY,EMPTY,[693],4,complete
create_rental,2020-01-01 18:19:32.092920,[520],"[91, 62]",7,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 18:19:32.092920,[522],[8],30,EMPTY,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 18:19:32.092920,[498],"[130, 68]",20,9,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 18:19:32.092920,[504],EMPTY,4,EMPTY,EMPTY,[695],4,complete
lend_inventory,2020-01-01 18:19:32.092920,[421],[7],64,6,EMPTY,EMPTY,1,complete
cancel_inventory,2020-01-01 18:19:32.092920,[492],[132],55,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:19:32.092920,[521],[49],32,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 18:19:32.092920,[411],EMPTY,72,EMPTY,EMPTY,[689],2,complete
create_rental,2020-01-01 18:19:32.092920,[519],"[123, 135]",28,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 18:19:32.092920,[420],EMPTY,46,EMPTY,EMPTY,[636],4,complete
return_inventory,2020-01-01 18:19:32.092920,"[452, 413]","[24, 166]",57,1,EMPTY,EMPTY,1,complete
cancel_inventory,2020-01-01 18:19:32.092920,[484],[37],65,EMPTY,EMPTY,EMPTY,2,complete
inspect_inventories,2020-01-01 18:20:13.953385,"[450, 436, 471, 474, 447]","[48, 117, 91, 135, 88, 123, 62, 119]",EMPTY,14,"[498, 503, 504, 505, 507, 508, 509, 510]",EMPTY,7,start
create_invoice,2020-01-01 18:21:13.953385,[436],EMPTY,EMPTY,17,EMPTY,[701],7,complete
create_invoice,2020-01-01 18:22:19.534780,"[515, 516]",EMPTY,EMPTY,8,EMPTY,"[702, 703]",6,complete
confirm_invoice,2020-01-01 18:24:25.116175,"[482, 387, 420, 423, 487, 493, 462, 372, 502, 503, 504]",EMPTY,EMPTY,4,EMPTY,"[636, 652, 656, 659, 664, 666, 686, 687, 693, 694, 695]",4,complete
cancel_inventory,2020-01-01 18:25:06.976640,[461],[139],34,EMPTY,EMPTY,EMPTY,6,complete
cancel_inventory,2020-01-01 18:25:06.976640,[491],[120],30,EMPTY,EMPTY,EMPTY,2,complete
return_inventory,2020-01-01 18:25:06.976640,[405],[19],65,2,EMPTY,EMPTY,2,complete
return_inventory,2020-01-01 18:25:06.976640,[478],[145],14,7,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 18:25:06.976640,[485],[55],27,8,EMPTY,EMPTY,6,complete
lend_inventory,2020-01-01 18:25:06.976640,[501],[99],41,9,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:25:06.976640,[524],"[142, 167]",71,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 18:25:06.976640,[525],"[18, 10]",6,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:25:06.976640,[526],"[139, 132]",76,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 18:25:06.976640,"[497, 436, 505]",EMPTY,28,EMPTY,EMPTY,"[681, 688, 701]",7,complete
return_inventory,2020-01-01 18:25:06.976640,[498],"[130, 68]",20,6,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 18:25:06.976640,[527],"[64, 145]",77,EMPTY,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 18:25:06.976640,[480],"[97, 92]",69,8,EMPTY,EMPTY,6,complete
